iter	Passed	Remaining
0	160	160632
1	164	82126
2	167	55716
3	170	42466
4	173	34580
5	179	29787
6	182	25957
7	185	23050
8	188	20788
9	191	18928
10	192	17319
11	193	15963
12	195	14813
13	196	13830
14	197	12977
15	198	12229
16	200	11570
17	201	10983
18	202	10456
19	204	10002
20	205	9582
21	206	9194
22	208	8838
23	209	8510
24	210	8209
25	211	7931
26	212	7674
27	214	7434
28	215	7212
29	216	7003
30	218	6828
31	219	6650
32	221	6478
33	222	6317
34	223	6164
35	224	6020
36	226	5882
37	227	5754
38	228	5632
39	229	5515
40	231	5404
41	232	5306
42	233	5207
43	235	5110
44	236	5017
45	237	4927
46	238	4842
47	240	4761
48	241	4682
49	242	4608
50	243	4536
51	245	4469
52	246	4409
53	248	4347
54	249	4284
55	250	4224
56	251	4166
57	253	4109
58	254	4055
59	255	4002
60	256	3951
61	257	3902
62	259	3854
63	261	3817
64	262	3774
65	263	3730
66	264	3688
67	266	3646
68	267	3606
69	268	3567
70	269	3529
71	270	3492
72	272	3456
73	273	3421
74	275	3396
75	276	3365
76	277	3332
77	279	3299
78	280	3268
79	281	3238
80	282	3208
81	284	3179
82	284	3145
83	285	3117
84	287	3090
85	288	3064
86	290	3045
87	291	3022
88	292	2998
89	294	2973
90	295	2950
91	296	2926
92	297	2904
93	299	2881
94	300	2861
95	301	2841
96	302	2820
97	304	2806
98	306	2787
99	307	2767
100	308	2748
101	310	2729
102	311	2710
103	312	2692
104	313	2674
105	314	2656
106	316	2639
107	317	2622
108	319	2610
109	320	2595
110	322	2579
111	323	2563
112	324	2547
113	325	2531
114	326	2515
115	328	2500
116	329	2483
117	330	2469
118	331	2454
119	332	2440
120	334	2430
121	335	2416
122	336	2402
123	338	2389
124	339	2376
125	340	2363
126	341	2348
127	342	2336
128	344	2324
129	345	2311
130	346	2299
131	348	2288
132	349	2280
133	351	2268
134	352	2257
135	353	2245
136	354	2234
137	355	2223
138	357	2212
139	358	2201
140	359	2190
141	360	2178
142	361	2167
143	363	2159
144	364	2151
145	366	2141
146	367	2131
147	368	2121
148	369	2112
149	371	2102
150	372	2093
151	373	2083
152	374	2074
153	375	2065
154	377	2055
155	378	2049
156	380	2041
157	381	2032
158	382	2023
159	383	2015
160	384	2004
161	385	1996
162	387	1988
163	388	1979
164	389	1971
165	390	1963
166	392	1955
167	393	1949
168	395	1942
169	396	1934
170	397	1927
171	398	1919
172	399	1912
173	401	1904
174	402	1897
175	403	1889
176	404	1882
177	406	1875
178	407	1871
179	409	1864
180	410	1857
181	411	1850
182	413	1844
183	414	1837
184	415	1830
185	416	1823
186	417	1816
187	419	1810
188	420	1803
189	422	1802
190	424	1797
191	426	1793
192	427	1789
193	429	1785
194	431	1780
195	432	1775
196	434	1769
197	435	1763
198	436	1758
199	438	1754
200	439	1748
201	441	1742
202	442	1737
203	443	1731
204	444	1725
205	446	1719
206	447	1713
207	448	1708
208	449	1702
209	450	1696
210	452	1693
211	454	1688
212	455	1682
213	456	1677
214	457	1671
215	459	1666
216	460	1661
217	461	1655
218	462	1649
219	463	1644
220	465	1639
221	466	1635
222	468	1630
223	469	1626
224	470	1620
225	471	1615
226	473	1611
227	474	1605
228	475	1600
229	476	1596
230	477	1591
231	479	1586
232	480	1581
233	482	1579
234	483	1574
235	485	1570
236	486	1565
237	487	1560
238	488	1555
239	489	1551
240	491	1546
241	492	1542
242	493	1537
243	494	1532
244	497	1532
245	498	1528
246	500	1524
247	501	1520
248	502	1516
249	504	1512
250	506	1510
251	508	1508
252	509	1505
253	511	1503
254	513	1499
255	514	1496
256	516	1492
257	517	1489
258	519	1485
259	520	1481
260	521	1477
261	523	1474
262	524	1470
263	526	1468
264	527	1464
265	529	1460
266	530	1457
267	532	1453
268	533	1449
269	534	1445
270	536	1442
271	537	1438
272	538	1434
273	541	1434
274	543	1431
275	544	1429
276	546	1426
277	548	1423
278	550	1421
279	551	1418
280	553	1415
281	556	1417
282	558	1413
283	560	1412
284	562	1411
285	564	1409
286	566	1406
287	567	1403
288	572	1408
289	574	1405
290	575	1403
291	577	1399
292	578	1396
293	580	1394
294	582	1392
295	584	1389
296	586	1387
297	588	1385
298	589	1382
299	590	1378
300	592	1375
301	593	1372
302	594	1368
303	596	1365
304	597	1361
305	598	1357
306	601	1357
307	603	1354
308	604	1352
309	605	1348
310	607	1345
311	608	1341
312	609	1338
313	610	1334
314	612	1331
315	613	1327
316	616	1328
317	618	1325
318	619	1323
319	621	1320
320	622	1316
321	623	1313
322	624	1309
323	626	1306
324	627	1303
325	630	1304
326	632	1302
327	634	1299
328	635	1296
329	636	1292
330	637	1289
331	639	1285
332	640	1282
333	641	1279
334	642	1276
335	645	1276
336	647	1273
337	648	1270
338	650	1267
339	651	1264
340	652	1261
341	653	1257
342	655	1255
343	656	1252
344	658	1250
345	660	1249
346	662	1246
347	663	1243
348	664	1239
349	665	1236
350	667	1233
351	668	1230
